case_id,source_id,source_name,mouse_id,timepoint_days,status,has_metastasis,lesion_annotation_available,lesion_training_eligible,mutation,lung_voxels,lesion_voxels,voxel_volume_mm3
deepmeta_140_NoPc_c1_11Corr_1,140,NoPc_c1_11Corr_1,NoPc_c1,,s,False,False,True,iL34c,94947,0,0.0047683715820312
deepmeta_141_NoPc_c1_17Corr_1,141,NoPc_c1_17Corr_1,NoPc_c1,,m,True,True,True,iL34c,74207,1357,0.0047683715820312
deepmeta_144_PLc_c1_10Corr_1,144,PLc_c1_10Corr_1,PLc_c1,,s,False,False,True,iL34c,100591,0,0.0047683715820312
deepmeta_145_PLc_c1_18Corr_1,145,PLc_c1_18Corr_1,PLc_c1,,s,False,False,True,iL34c,98376,0,0.0047683715820312
deepmeta_146_PLc_c1_21Corr_1,146,PLc_c1_21Corr_1,PLc_c1,,s,False,False,True,iL34c,90452,0,0.0047683715820312
deepmeta_147_PLc_c2_13Corr_1,147,PLc_c2_13Corr_1,PLc_c2,,m,True,True,True,iL34c,87337,286,0.0047683715820312
deepmeta_148_PLc_c3_15Corr_1,148,PLc_c3_15Corr_1,PLc_c3,,m,True,True,True,iL34c,113695,3317,0.0047683715820312
deepmeta_149_PR_c1_10Corr_1,149,PR_c1_10Corr_1,PR_c1,,s,False,False,True,LacZ,95622,0,0.0047683715820312
deepmeta_150_PR_c2_11Corr_1,150,PR_c2_11Corr_1,PR_c2,,s,False,False,True,LacZ,110052,0,0.0047683715820312
deepmeta_151_PR_c3_15Corr_1,151,PR_c3_15Corr_1,PR_c3,,s,False,False,True,LacZ,80694,0,0.0047683715820312
deepmeta_153_PRc_c2_12Corr_1,153,PRc_c2_12Corr_1,PRc_c2,,s,False,False,True,iL34c,87111,0,0.0047683715820312
deepmeta_154_m2P_c2_23Corrb_1,154,m2P_c2_23Corrb_1,m2P_c2,,s,False,False,True,LacZ,75224,0,0.0047683715820312
deepmeta_155_m2PLc_c2_23Corrb_1,155,m2PLc_c2_23Corrb_1,m2PLc_c2,,s,False,False,True,iL34c,106994,0,0.0047683715820312
deepmeta_156_PLc_c1_25Corrb_1,156,PLc_c1_25Corrb_1,PLc_c1,,s,False,False,True,iL34c,110385,0,0.0047683715820312
deepmeta_157_PLc_c1_26Corr_1,157,PLc_c1_26Corr_1,PLc_c1,,m,True,True,True,iL34c,115127,15,0.0047683715820312
deepmeta_158_m2PLc_c2_25Corr_1,158,m2PLc_c2_25Corr_1,m2PLc_c2,,m,True,True,True,iL34c,121161,784,0.0047683715820312
deepmeta_160_m2PRc_c3_26Corr_1,160,m2PRc_c3_26Corr_1,m2PRc_c3,,m,True,True,True,iL34c,248758,2521,0.0047683715820312
deepmeta_162_m2PRc_c3_25scan2Corr_1,162,m2PRc_c3_25scan2Corr_1,m2PRc_c3,,m,True,True,True,iL34c,241685,6078,0.0047683715820312
deepmeta_163_m2PRc_c3_26scan2Corr_1,163,m2PRc_c3_26scan2Corr_1,m2PRc_c3,,m,True,True,True,iL34c,249057,310,0.0047683715820312
deepmeta_164_m2PRc_c3_27scan2Corr_1,164,m2PRc_c3_27scan2Corr_1,m2PRc_c3,,m,True,True,True,iL34c,285885,732,0.0047683715820312
deepmeta_165_PLc_c1_26scan2Corr_1,165,PLc_c1_26scan2Corr_1,PLc_c1,,m,True,True,True,iL34c,117280,21,0.0047683715820312
deepmeta_166_PLc_c1_25Corr_1,166,PLc_c1_25Corr_1,PLc_c1,,s,False,False,True,iL34c,113392,0,0.0047683715820312
deepmeta_167_PLc_c1_27Corr_1,167,PLc_c1_27Corr_1,PLc_c1,,s,False,False,True,iL34c,121144,0,0.0047683715820312
deepmeta_168_PLc_c1_28Corr_1,168,PLc_c1_28Corr_1,PLc_c1,,s,False,False,True,iL34c,111560,0,0.0047683715820312
deepmeta_169_PLc_c1_27scan2Corr_1,169,PLc_c1_27scan2Corr_1,PLc_c1,,s,False,False,True,iL34c,123635,0,0.0047683715820312
deepmeta_170_PLc_c1_28scan2Corr_1,170,PLc_c1_28scan2Corr_1,PLc_c1,,s,False,False,True,iL34c,111167,0,0.0047683715820312
deepmeta_171_m2P_c2_23Corr_1,171,m2P_c2_23Corr_1,m2P_c2,,m,True,True,True,LacZ,68070,225,0.0047683715820312
deepmeta_172_m2P_c2_24Corr_1,172,m2P_c2_24Corr_1,m2P_c2,,m,True,True,True,LacZ,53789,472,0.0047683715820312
deepmeta_173_m2PLc_c2_23Corr_1,173,m2PLc_c2_23Corr_1,m2PLc_c2,,m,True,True,True,iL34c,106994,26,0.0047683715820312
deepmeta_174_m2PLc_c2_24Corr_1,174,m2PLc_c2_24Corr_1,m2PLc_c2,,m,True,True,True,iL34c,124908,295,0.0047683715820312
deepmeta_175_m2PRc_c3_23Corr_1,175,m2PRc_c3_23Corr_1,m2PRc_c3,,m,True,True,True,iL34c,164411,7882,0.0047683715820312
deepmeta_176_m2PRc_c3_24Corr_1,176,m2PRc_c3_24Corr_1,m2PRc_c3,,m,True,True,True,iL34c,175502,3753,0.0047683715820312
deepmeta_177_PLc_c1_23Corr_1,177,PLc_c1_23Corr_1,PLc_c1,,s,False,False,True,iL34c,116233,0,0.0047683715820312
deepmeta_178_PLc_c1_24Corr_1,178,PLc_c1_24Corr_1,PLc_c1,,s,False,False,True,iL34c,126832,0,0.0047683715820312
deepmeta_179_PRc_c3_06Corrc_1,179,PRc_c3_06Corrc_1,PRc_c3,,s,False,False,True,iL34c,100274,0,0.0047683715820312
deepmeta_180_PLc_c1_21Corrc_1,180,PLc_c1_21Corrc_1,PLc_c1,,s,False,False,True,iL34c,88032,0,0.0047683715820312
deepmeta_181_m2PLc_c2_19Corrc_1,181,m2PLc_c2_19Corrc_1,m2PLc_c2,,s,False,False,True,iL34c,97449,0,0.0047683715820312
deepmeta_182_m2PLc_c2_19Corrb_1,182,m2PLc_c2_19Corrb_1,m2PLc_c2,,s,False,False,True,iL34c,102021,0,0.0047683715820312
deepmeta_183_PLc_c1_21Corrb_1,183,PLc_c1_21Corrb_1,PLc_c1,,s,False,False,True,iL34c,94532,0,0.0047683715820312
deepmeta_184_PRc_c3_06Corrb_1,184,PRc_c3_06Corrb_1,PRc_c3,,s,False,False,True,iL34c,99903,0,0.0047683715820312
